1	f	48	3201	4611	5667	4028	695
2	f	48	3201	4611	5667	4028	695
3	f	48	3201	4611	5667	4028	695
1	qm	3324	1551	4145	6181	1308	6421
10	qm	2399	4121	3814	2252	6421	5847
11	qm	8222	451	9194	2783	2603	3173
12	qm	7885	7460	5667	120	4611	1551
13	qm	8713	4601	8718	2095	2172	5740
14	qm	695	3777	5413	8037	6181	2632
15	qm	3201	2234	1308	1126	8140	8096
16	qm	6916	4145	1405	4269	6964	379
17	qm	4028	8243	1507	48	8145	3324
18	qm	2172	2010	3173	9075	2228	8222
19	qm	7885	9194	5740	6421	7460	3777
2	qm	5740	451	1507	9194	4121	1126
20	qm	8713	8096	8037	2252	120	4121
21	qm	1126	3201	451	5847	1551	1405
22	qm	1308	1507	4601	695	4028	2399
23	qm	2010	6964	5413	8718	4269	2234
24	qm	8243	2783	6181	4611	6916	2228
25	qm	4145	8140	2603	8145	291	5667
26	qm	2095	3324	379	3814	48	2632
27	qm	4121	8037	9075	1405	7460	1308
28	qm	5413	2234	120	451	2010	4601
29	qm	2399	8713	6916	3777	1551	8718
3	qm	8713	3173	5847	9075	5413	4611
30	qm	3201	5667	4269	2783	695	9194
31	qm	2632	6421	8140	5847	1507	2172
32	qm	3324	8243	6964	2252	3173	8222
33	qm	48	4028	4611	4145	291	5740
34	qm	2228	1126	2095	379	6181	8145
35	qm	8096	7885	6916	3814	2603	8713
36	qm	2399	2172	9075	5667	695	451
37	qm	1551	8037	6421	3173	2632	8243
38	qm	2783	5413	5847	4145	4028	7460
39	qm	1308	8145	1126	3777	6964	8222
4	qm	8222	2399	2234	379	3814	291
40	qm	1507	8718	3324	4611	8096	2603
41	qm	48	5740	3201	6181	2252	2234
42	qm	8140	1405	3814	2228	4601	9194
43	qm	2010	4269	291	379	4121	7885
44	qm	120	1126	8222	9075	4145	2095
45	qm	2632	451	8713	6964	5667	4028
46	qm	5740	695	1551	8096	3324	5413
47	qm	2228	8145	8243	8718	2399	3201
48	qm	6421	4611	4601	8037	9194	6916
49	qm	6181	7885	3173	2234	8140	4121
5	qm	8718	2252	2603	4028	120	1405
50	qm	291	2095	7460	1507	2010	1405
51	qm	4269	1308	3814	120	2172	48
52	qm	2603	5847	3777	2252	379	2783
53	qm	2632	2228	695	4145	8713	1126
54	qm	5413	8222	4028	4121	6916	3201
55	qm	6964	1405	6181	8096	8243	2399
56	qm	6421	8145	9194	291	1308	120
57	qm	8718	48	379	451	8037	7885
58	qm	7460	4269	2172	4601	3173	3324
59	qm	4611	3777	2252	2010	2095	8140
6	qm	4601	2632	2783	2010	7885	8145
60	qm	2234	3814	1551	1507	9075	2783
61	qm	2603	5667	8243	5740	5847	1308
62	qm	9194	4145	379	695	8718	8096
63	qm	3173	6916	120	291	1126	2399
64	qm	4028	8713	6421	8140	8222	4269
65	qm	6964	2252	2172	7885	5413	1507
66	qm	1551	2783	4121	4601	48	2095
67	qm	451	4611	3814	8145	7460	3201
68	qm	3777	2228	2234	3324	8037	5667
69	qm	2632	9075	2010	5740	6181	2603
7	qm	7460	48	8096	5667	8140	2228
70	qm	5847	120	8140	1405	8222	695
71	qm	2095	2783	8096	6421	2399	6964
72	qm	5413	4601	7460	1126	379	8243
73	qm	5667	8718	4145	3814	1507	3173
74	qm	9194	2603	2010	1551	8713	48
75	qm	3777	7885	9075	3201	3324	4028
76	qm	4121	1405	4611	2234	2632	2172
77	qm	8037	5740	8145	6181	5847	4269
78	qm	6916	291	2252	1308	451	2228
79	qm	1126	5667	48	8222	6421	8718
8	qm	2172	3201	8037	6916	2095	6964
80	qm	6964	3814	695	4028	1551	2010
81	qm	8243	9194	2095	7885	2234	4145
82	qm	2603	3324	4121	8140	2399	8037
83	qm	3173	379	1308	2783	3201	8713
84	qm	4611	1507	6181	4269	120	451
85	qm	291	8096	5847	2172	4601	3777
86	qm	7460	9075	2252	8145	6916	2632
87	qm	1405	2228	7885	5413	5740	6421
9	qm	695	4269	9075	8243	3777	291
10	sf	7460	6421	5740	4611	3201	48
11	sf	3173	2252	120	5667	4028	695
12	sf	2783	6181	2399	4611	3201	48
13	sf	48	3201	4611	120	2252	3173
1	sf	8096	2228	8222	5667	4028	695
2	sf	2783	6181	2399	5740	6421	7460
3	sf	2603	1551	5847	120	2252	3173
4	sf	1507	6964	1405	4611	3201	48
5	sf	7460	6421	5740	8222	2228	8096
6	sf	1507	6964	1405	5847	1551	2603
7	sf	2783	6181	2399	5667	4028	695
8	sf	48	3201	5413	120	2252	3173
9	sf	1507	6964	1405	2783	6181	2399
